value	class	loci	id
1	1.78477019126095	Memory_hypermethylation	chr12:130642603-130650204	ENCFF735TXC.bigWig
2	3.51833244255095	Aberrant_hypermethylation	chr10:133108848-133111109	ENCFF735TXC.bigWig
3	1.48841458765467	Aberrant_hypermethylation	chr4:8856630-8879787	ENCFF735TXC.bigWig
4	2.24196732982441	Memory_hypomethylation	chr16:53406798-53407808	ENCFF735TXC.bigWig
5	6.21637765130376	Aberrant_hypermethylation	chr12:130386982-130389235	ENCFF735TXC.bigWig
6	3.20113768546205	Aberrant_hypermethylation	chr7:157475692-157485380	ENCFF735TXC.bigWig
7	2.17498891964191	Aberrant_hypomethylation	chr18:14178726-14179709	ENCFF735TXC.bigWig
8	3.49861582893653	Aberrant_hypermethylation	chr12:128750838-128753892	ENCFF735TXC.bigWig
9	3.04364216745945	Memory_hypermethylation	chr12:130356474-130357606	ENCFF735TXC.bigWig
10	1.66788616839876	Memory_hypomethylation	chr21:33765563-33766056	ENCFF735TXC.bigWig
11	0.997434384816763	Memory_hypomethylation	chr1:207818036-207819316	ENCFF735TXC.bigWig
12	2.03126938641071	Aberrant_hypomethylation	chr18:14458089-14458699	ENCFF735TXC.bigWig
13	0.537180006504059	Memory_hypomethylation	chr16:28379408-28379554	ENCFF735TXC.bigWig
14	6.64894261635267	Aberrant_hypermethylation	chr6:62995372-62996560	ENCFF735TXC.bigWig
15	1.20639591054483	Partial_hypomethylation_memory	chr15:101389349-101390385	ENCFF735TXC.bigWig
16	0.524587501771748	Aberrant_hypomethylation	chr2:3652816-3653413	ENCFF735TXC.bigWig
17	2.2759196309342	Aberrant_hypermethylation	chr5:3594818-3603143	ENCFF735TXC.bigWig
18	0.633980200886726	Memory_hypomethylation	chr7:42896236-42897134	ENCFF735TXC.bigWig
19	1.24907597154379	Memory_hypomethylation	chr6:10883541-10885472	ENCFF735TXC.bigWig
20	1.99275257698325	Aberrant_hypomethylation	chr18:14640977-14641588	ENCFF735TXC.bigWig
21	2.39393807464922	Memory_hypermethylation	chr12:130255758-130256906	ENCFF735TXC.bigWig
22	1.27435922313046	Memory_hypomethylation	chr6:29893944-29895260	ENCFF735TXC.bigWig
23	0.783403337001801	Memory_hypomethylation	chr18:14450104-14451003	ENCFF735TXC.bigWig
24	3.09281163749757	Memory_hypomethylation	chr12:130135091-130138721	ENCFF735TXC.bigWig
25	2.58632277644106	Aberrant_hypermethylation	chr12:130498609-130499277	ENCFF735TXC.bigWig
26	6.4118774308533	Aberrant_hypermethylation	chr12:129454043-129455024	ENCFF735TXC.bigWig
27	7.3504736889208	Aberrant_hypermethylation	chr8:139508581-139509921	ENCFF735TXC.bigWig
28	0.557007928860599	Memory_hypomethylation	chr5:68628355-68628738	ENCFF735TXC.bigWig
29	2.05397471259622	Aberrant_hypomethylation	chr4:1522123-1522365	ENCFF735TXC.bigWig
30	1.36226963780143	Memory_hypomethylation	chr19:12758274-12759250	ENCFF735TXC.bigWig
31	3.52984376812553	Memory_hypomethylation	chr10:132200182-132206793	ENCFF735TXC.bigWig
32	3.99534387123294	Aberrant_hypermethylation	chr8:139926188-139926744	ENCFF735TXC.bigWig
33	2.82263094506533	Memory_hypomethylation	chr12:129600828-129605504	ENCFF735TXC.bigWig
34	1.26032143712044	Memory_hypomethylation	chr1:229567139-229569101	ENCFF735TXC.bigWig
35	3.66573637324399	Memory_hypomethylation	chr20:29611445-29612151	ENCFF735TXC.bigWig
36	1.19647544803041	Partial_hypomethylation_memory	chr9:139738746-139739775	ENCFF735TXC.bigWig
37	2.78760258949572	Aberrant_hypermethylation	chr7:154001859-154002608	ENCFF735TXC.bigWig
38	2.88972740943038	Memory_hypermethylation	chr12:130481721-130482424	ENCFF735TXC.bigWig
39	2.10821080416964	Memory_hypomethylation	chr2:91634539-91636144	ENCFF735TXC.bigWig
40	2.20182904416117	Memory_hypermethylation	chr4:8893076-8896308	ENCFF735TXC.bigWig
41	4.0843235199688	Memory_hypomethylation	chr18:15197588-15198729	ENCFF735TXC.bigWig
42	0.842803916205531	Memory_hypomethylation	chr6:29817828-29818380	ENCFF735TXC.bigWig
43	2.43273233454412	Memory_hypermethylation	chr12:130704920-130706116	ENCFF735TXC.bigWig
44	1.16502504682902	Memory_hypomethylation	chr11:18727273-18728342	ENCFF735TXC.bigWig
45	1.02521713716643	Memory_hypomethylation	chr4:87825251-87825691	ENCFF735TXC.bigWig
46	7.28681251800285	Memory_hypomethylation	chr18:14747794-14748660	ENCFF735TXC.bigWig
47	2.75381385029613	Memory_hypomethylation	chr8:58055024-58056225	ENCFF735TXC.bigWig
48	1.59624795841527	Partial_hypomethylation_memory	chr11:20622023-20627599	ENCFF735TXC.bigWig
49	0.59553521954351	Memory_hypomethylation	chr17:4688444-4690372	ENCFF735TXC.bigWig
50	0.286577501644691	Memory_hypomethylation	chr3:12595380-12595817	ENCFF735TXC.bigWig
51	0.679494355234408	Memory_hypomethylation	chr16:66981674-66983023	ENCFF735TXC.bigWig
52	2.14316785103211	Memory_hypomethylation	chr8:139484075-139486541	ENCFF735TXC.bigWig
53	2.9214739705632	Memory_hypomethylation	chr10:133131546-133139765	ENCFF735TXC.bigWig
54	1.32404556373755	Memory_hypomethylation	chr6:17016123-17016767	ENCFF735TXC.bigWig
